channel_id,view_count,sub_count,video_count,created_at,created_date
UCGbshtvS9t-8CW11W7TooQg,2081139373,6660000,9468,2024-02-07 11:40:20.474614+00,2024-02-07
UCHm9SiOLG8UoBT8STWY5mVA,1289246893,5830000,870,2024-02-07 11:40:20.474614+00,2024-02-07
UCnWCj9UofS6OxSK34xWvKCg,3985510222,5850000,2373,2024-02-07 11:40:20.474614+00,2024-02-07
UCXpxKdZAiyUEaTkoCPpEZzg,2138278975,5180000,299,2024-02-07 11:40:20.474614+00,2024-02-07
UC6FcYHEm7SO1jpu5TKjNXEA,1152962825,3570000,338,2024-02-07 11:40:20.474614+00,2024-02-07
UCI7ktPB6toqucpkkCiolwLg,608331668,3540000,721,2024-02-07 11:40:20.474614+00,2024-02-07
UCPcF3KTqhD67ADkukx_OeDg,5763235347,3520000,5664,2024-02-07 11:40:20.474614+00,2024-02-07
UCGGrblndNzi86WY5lJkQJiA,295976440,1420000,1560,2024-02-07 11:40:20.474614+00,2024-02-07
UCFsXFlbI8FpNAVQ_RL3I4bw,1375297510,3500000,1210,2024-02-07 11:40:20.474614+00,2024-02-07
UC5l1Yto5oOIgRXlI4p4VKbw,3291786836,3280000,115846,2024-02-07 11:40:20.474614+00,2024-02-07
UCrLO-yoAu4ZTzRSdmWqS53A,1351264815,3150000,2003,2024-02-07 11:40:20.474614+00,2024-02-07
UCnJEWsS5agXCkqIpyHC9Grg,2248670584,3130000,5104,2024-02-07 11:40:20.474614+00,2024-02-07
UCKQVSNdzGBJSXaUmS4TOWww,4634248410,3120000,34726,2024-02-07 11:40:20.474614+00,2024-02-07
UCX9VHpN62jkqCCntHxymPOA,4040721663,3030000,27409,2024-02-07 11:40:20.474614+00,2024-02-07
UCpu3bemTQwAU8PqM4kJdoEQ,4091214928,2400000,272051,2024-02-07 11:40:20.474614+00,2024-02-07
UCttafJi4SCirZhlxsxISbyA,1940198877,3040000,1822,2024-02-07 11:40:20.474614+00,2024-02-07
UC8CU5nVhCQIdAGrFFp4loOQ,4171577284,2940000,27,2024-02-07 11:40:20.474614+00,2024-02-07
UC7ovu6a8ydIbDy0fAKmoZ9A,3995873478,2750000,2206,2024-02-07 11:40:20.474614+00,2024-02-07
UC5nwNW4KdC0SzrhF9BXEYOQ,5767795379,2580000,431499,2024-02-07 11:40:20.474614+00,2024-02-07
UCPRWWKG0VkBA0Pqa4Jr5j0Q,1033268490,2570000,2823,2024-02-07 11:40:20.474614+00,2024-02-07
UCAYrMNl92jw6cpjdpBP8JyA,371030186,2550000,564,2024-02-07 11:40:20.474614+00,2024-02-07
UCIU8ha-NHmLjtUwU7dFiXUA,5260637014,2520000,174218,2024-02-07 11:40:20.474614+00,2024-02-07
UCLW_SzI9txZvtOFTPDswxqg,831487289,2340000,1441,2024-02-07 11:40:20.474614+00,2024-02-07
UCR3asjvr_WAaxwJYEDV_Bfw,5357316449,2340000,410471,2024-02-07 11:40:20.474614+00,2024-02-07
UC3LBFXbWtEBdOOUb8-qJm9Q,822485244,2260000,797,2024-02-07 11:40:20.474614+00,2024-02-07
UCV_S2S-Zs8LeuJxK-T3RQQg,1027570319,2220000,1638,2024-02-07 11:40:20.474614+00,2024-02-07
UCH3aos_uf4pGHbkANSbceEg,1143390171,2140000,449,2024-02-07 11:40:20.474614+00,2024-02-07
UCgdwtyqBunlRb-i-7PnCssQ,1240889787,2050000,11930,2024-02-07 11:40:20.474614+00,2024-02-07
UC4Aclpo5YyXbKPeiZNO_uiw,1238556024,1900000,1056,2024-02-07 11:40:20.474614+00,2024-02-07
UCIECJyQ6meDyN-UnVHgXAMA,2136083953,1870000,18408,2024-02-07 11:40:20.474614+00,2024-02-07
UCdEpz2A4DzV__4C1x2quKLw,114719910,1410000,490,2024-02-07 11:40:20.474614+00,2024-02-07
UCr90FXGOO8nAE9B6FAUeTNA,198459656,1790000,765,2024-02-07 11:40:20.474614+00,2024-02-07
UCEsinqZjZ11w0T9ZvyKIr6A,2053553895,1780000,2078,2024-02-07 11:40:20.474614+00,2024-02-07
UCDrswN-SqWh7Kii62h9aXGA,622939294,1780000,719,2024-02-07 11:40:20.474614+00,2024-02-07
UC2TuODJhC03pLgd6MpWP0iw,3837450941,1750000,196148,2024-02-07 11:40:20.474614+00,2024-02-07
UCV1OpUwWJCMiv6gJCRR6yAg,342849868,1720000,338,2024-02-07 11:40:20.474614+00,2024-02-07
UCiMiEL1XRXANaypB2wEdr5w,4330765007,1650000,33816,2024-02-07 11:40:20.474614+00,2024-02-07
UCEfetJrzg6OcXWWuX8uhdhw,901060989,1650000,1324,2024-02-07 11:40:20.474614+00,2024-02-07
UCAqzHNzLTC6Vm5UYE7xw_2A,706295733,1620000,11959,2024-02-07 11:40:20.474614+00,2024-02-07
UCcb9uxCoIgw7RQjQnlgd0Xw,186761378,1460000,604,2024-02-07 11:40:20.474614+00,2024-02-07
UCwWXGnvVmi-6Sfx2wf8S8tQ,622253332,1610000,7156,2024-02-07 11:40:20.474614+00,2024-02-07
UC6VKHP606ee6ffKwKmBHSig,369696530,1590000,240,2024-02-07 11:40:20.474614+00,2024-02-07
UCJWXJTaLqI5KBnJuaXbCaTg,283902360,1580000,468,2024-02-07 11:40:20.474614+00,2024-02-07
UCiWRSesvSYmY7YOyz0tv_zQ,1721565942,1580000,14676,2024-02-07 11:40:20.474614+00,2024-02-07
UCStpPtoeQUYII1Jsbl0qf8A,835872919,1580000,868,2024-02-07 11:40:20.474614+00,2024-02-07
UCw2W7GIqJNB-UMUxncnMuiw,551398380,1570000,623,2024-02-07 11:40:20.474614+00,2024-02-07
UCQU5uVTG8h9LToACKrm1LMA,1133329562,1550000,3070,2024-02-07 11:40:20.474614+00,2024-02-07
UCmdVfsLHu18lCkKYXSOGUxg,2093813061,1540000,195163,2024-02-07 11:40:20.474614+00,2024-02-07
UCCsUQXwhDj4iVlhG4VCq6Kg,2557468035,1540000,1568,2024-02-07 11:40:20.474614+00,2024-02-07
UC8zkK0-g8S8Z_t8ZjUmpAlA,186184778,1540000,569,2024-02-07 11:40:20.474614+00,2024-02-07
UCCBq7s8VOCyek275uvq5lYQ,560842975,1540000,2003,2024-02-07 11:40:20.474614+00,2024-02-07
UCCtTgzGzQSWVzCG0xR7U-MQ,401072774,1500000,3840,2024-02-07 11:40:20.474614+00,2024-02-07
UC8wI85SlecrsLdPm-I73PzA,392000115,1470000,303,2024-02-07 11:40:20.474614+00,2024-02-07
UCbIJeyl_va8MG2xx0q4Uobg,371159951,1460000,359,2024-02-07 11:40:20.474614+00,2024-02-07
UCLZBXiS9ZrIXgKBs_SMfGBQ,1861689222,1440000,35721,2024-02-07 11:40:20.474614+00,2024-02-07
UCFsNxYnUEs4tcqyddJhW43g,958787129,1410000,1295,2024-02-07 11:40:20.474614+00,2024-02-07
UCgDbdS9sm90CG771uznT8wg,878319942,1420000,16176,2024-02-07 11:40:20.474614+00,2024-02-07
UCdxoeijd8BEuQlARHDcz4EA,828991270,1410000,350,2024-02-07 11:40:20.474614+00,2024-02-07
UCsyxqzJGL20zRlnmD2bkPqg,1467969357,1400000,328,2024-02-07 11:40:20.474614+00,2024-02-07
UC2TuODJhC03pLgd6MpWP0iw,3842147921,1760000,196271,2024-02-09 06:23:27.574066+00,2024-02-09
UC3LBFXbWtEBdOOUb8-qJm9Q,822951678,2260000,797,2024-02-09 06:23:27.574066+00,2024-02-09
UC4Aclpo5YyXbKPeiZNO_uiw,1238904656,1900000,1056,2024-02-09 06:23:27.574066+00,2024-02-09
UC5l1Yto5oOIgRXlI4p4VKbw,3295393628,3280000,115961,2024-02-09 06:23:27.574066+00,2024-02-09
UC5nwNW4KdC0SzrhF9BXEYOQ,5772483112,2580000,431769,2024-02-09 06:23:27.574066+00,2024-02-09
