video_id,view_count,like_count,comment_count,created_date,created_at
a842HLcg6HM,2577,11,0,2024-02-12,2024-02-12 14:10:13.869971+00
YKyzBaYTlZk,1087,37,0,2024-02-12,2024-02-12 14:10:13.869971+00
joy8XP9zQ5Y,1359,18,0,2024-02-12,2024-02-12 14:10:13.869971+00
g9EFgwszPzI,8736,104,2,2024-02-12,2024-02-12 14:10:13.869971+00
TxSGpr0hBB0,1712,13,2,2024-02-12,2024-02-12 14:10:13.869971+00
giPW2hLywPY,24363,757,9,2024-02-12,2024-02-12 14:10:13.869971+00
fU7bsNgXjgg,44493,1064,29,2024-02-12,2024-02-12 14:10:13.869971+00
9iEcN4am73c,767,18,1,2024-02-12,2024-02-12 14:10:13.869971+00
yGTo_vn4SeQ,826,14,0,2024-02-12,2024-02-12 14:10:13.869971+00
NWSdsi9Il7c,1836,83,1,2024-02-12,2024-02-12 14:10:13.869971+00
UwhFMH7uEuA,13533,210,2,2024-02-12,2024-02-12 14:10:13.869971+00
hnNBAwaCGJM,15582,203,5,2024-02-12,2024-02-12 14:10:13.869971+00
x6A0WVQRNRI,1173,12,0,2024-02-12,2024-02-12 14:10:13.869971+00
uy7nMs5ky2I,935,9,0,2024-02-12,2024-02-12 14:10:13.869971+00
rUfSEl62oOU,1108,8,0,2024-02-12,2024-02-12 14:10:13.869971+00
thZj-zVa3Y4,54806,554,6,2024-02-12,2024-02-12 14:10:13.869971+00
wiTV9AR4hG8,92519,2115,6,2024-02-12,2024-02-12 14:10:13.869971+00
4c0vcWKcMVc,10577,75,0,2024-02-12,2024-02-12 14:10:13.869971+00
9_wYosNk87s,56187,945,7,2024-02-12,2024-02-12 14:10:13.869971+00
ftrEqtoh0pU,2651,38,2,2024-02-12,2024-02-12 14:10:13.869971+00
V3YNmjAi4lw,6647,139,1,2024-02-12,2024-02-12 14:10:13.869971+00
9JmcltZej0c,10948,248,1,2024-02-12,2024-02-12 14:10:13.869971+00
lBgRLFQFzlo,51553,1987,10,2024-02-12,2024-02-12 14:10:13.869971+00
VCfJs7FQIWI,5868,145,2,2024-02-12,2024-02-12 14:10:13.869971+00
QCgjY2V9SM8,12061,513,2,2024-02-12,2024-02-12 14:10:13.869971+00
_1TFBVVIIgY,29646,892,7,2024-02-12,2024-02-12 14:10:13.869971+00
vwTqYYF2Y-s,39851,1687,1,2024-02-12,2024-02-12 14:10:13.869971+00
T9Ji7OlikfA,14898,346,6,2024-02-12,2024-02-12 14:10:13.869971+00
O33UlRyKDPc,131413,4577,13,2024-02-12,2024-02-12 14:10:13.869971+00
95NHzZJ9i6A,14444,420,3,2024-02-12,2024-02-12 14:10:13.869971+00
5WA3Y96s3pg,28771,863,2,2024-02-12,2024-02-12 14:10:13.869971+00
UR0z3FG1uvw,5261,115,2,2024-02-12,2024-02-12 14:10:13.869971+00
3NnDqWb8w68,16918,543,4,2024-02-12,2024-02-12 14:10:13.869971+00
tGlZ2v8yIm0,5598,164,3,2024-02-12,2024-02-12 14:10:13.869971+00
